"Time","CO2","Humidity","PM10","PM2.5","Temperature","TVOC"
2024-01-20 12:00:00,464 ppm,81.8 %H,12.1 μg/m³,11.9 μg/m³,23.1 °C,0.781 ppm
2024-01-20 10:00:00,486 ppm,81.8 %H,13.5 μg/m³,12.9 μg/m³,23.0 °C,0.893 ppm
2024-01-20 08:00:00,513 ppm,81.3 %H,15.4 μg/m³,14.6 μg/m³,23.3 °C,1.06 ppm
2024-01-20 06:00:00,530 ppm,81.3 %H,17.9 μg/m³,16.9 μg/m³,23.7 °C,1.12 ppm
2024-01-20 04:00:00,540 ppm,81.5 %H,17 μg/m³,16.6 μg/m³,23.7 °C,1.12 ppm
2024-01-20 02:00:00,555 ppm,81.5 %H,15.9 μg/m³,15.6 μg/m³,23.7 °C,1.06 ppm
2024-01-20 00:00:00,576 ppm,81.5 %H,15 μg/m³,14.3 μg/m³,23.6 °C,1.05 ppm
2024-01-19 22:00:00,594 ppm,81.5 %H,14.9 μg/m³,13.9 μg/m³,23.6 °C,1.04 ppm
2024-01-19 20:00:00,618 ppm,81.7 %H,13.6 μg/m³,13.1 μg/m³,23.5 °C,0.974 ppm
2024-01-19 18:00:00,682 ppm,82.1 %H,12.4 μg/m³,11.8 μg/m³,23.3 °C,0.924 ppm
2024-01-19 16:00:00,710 ppm,82.1 %H,12.6 μg/m³,12 μg/m³,23.0 °C,0.782 ppm
2024-01-19 14:00:00,677 ppm,81.6 %H,13.6 μg/m³,13 μg/m³,23.1 °C,0.779 ppm
2024-01-19 12:00:00,620 ppm,81.9 %H,14 μg/m³,13.5 μg/m³,23.1 °C,0.838 ppm
2024-01-19 10:00:00,525 ppm,81.9 %H,17.5 μg/m³,17 μg/m³,23.2 °C,0.819 ppm
2024-01-19 08:00:00,482 ppm,81.4 %H,19.8 μg/m³,19.2 μg/m³,23.2 °C,0.849 ppm
2024-01-19 06:00:00,489 ppm,81.5 %H,20.8 μg/m³,19.6 μg/m³,23.7 °C,0.895 ppm
2024-01-19 04:00:00,495 ppm,81.4 %H,21.2 μg/m³,19.9 μg/m³,23.6 °C,0.895 ppm
2024-01-19 02:00:00,502 ppm,81.4 %H,20.8 μg/m³,19.9 μg/m³,23.6 °C,0.876 ppm
2024-01-19 00:00:00,512 ppm,81.4 %H,21.5 μg/m³,20.2 μg/m³,23.5 °C,0.830 ppm
2024-01-18 22:00:00,516 ppm,81.5 %H,20.3 μg/m³,19.5 μg/m³,23.5 °C,0.799 ppm
2024-01-18 20:00:00,515 ppm,81.5 %H,21.2 μg/m³,20.2 μg/m³,23.2 °C,0.706 ppm
2024-01-18 18:00:00,560 ppm,81.6 %H,20.8 μg/m³,19.6 μg/m³,23.1 °C,0.799 ppm
2024-01-18 16:00:00,650 ppm,81.4 %H,18.4 μg/m³,17.3 μg/m³,23.1 °C,0.843 ppm
2024-01-18 14:00:00,803 ppm,81.8 %H,13.9 μg/m³,12.9 μg/m³,23.0 °C,0.891 ppm
2024-01-18 12:00:00,855 ppm,81.4 %H,13.2 μg/m³,12.7 μg/m³,22.9 °C,1.01 ppm
2024-01-18 10:00:00,601 ppm,81.4 %H,13.4 μg/m³,13.1 μg/m³,22.8 °C,0.755 ppm
2024-01-18 08:00:00,523 ppm,79.6 %H,13.2 μg/m³,12.4 μg/m³,22.6 °C,0.866 ppm
2024-01-18 06:00:00,549 ppm,80.5 %H,13.2 μg/m³,12.3 μg/m³,23.5 °C,0.872 ppm
2024-01-18 04:00:00,568 ppm,80.1 %H,12.5 μg/m³,12 μg/m³,23.4 °C,0.849 ppm
2024-01-18 02:00:00,590 ppm,80 %H,13.5 μg/m³,12.5 μg/m³,23.3 °C,0.859 ppm
