Time,CO2,Humidity,PM10,PM2.5,Temperature,TVOC
2024-02-17 15:00:00,500 ppm,80.9 %H,19.5 μg/m³,18.7 μg/m³,23.0 °C,0.478 ppm
2024-02-17 16:00:00,496 ppm,81 %H,20.5 μg/m³,19.8 μg/m³,23.0 °C,0.397 ppm
2024-02-17 17:00:00,493 ppm,81.1 %H,18.8 μg/m³,18.7 μg/m³,23.2 °C,0.422 ppm
2024-02-17 18:00:00,490 ppm,81.3 %H,20.2 μg/m³,19.2 μg/m³,23.1 °C,0.378 ppm
2024-02-17 19:00:00,489 ppm,81.3 %H,19.2 μg/m³,18.5 μg/m³,23.1 °C,0.458 ppm
2024-02-17 20:00:00,490 ppm,81.2 %H,19.5 μg/m³,19 μg/m³,23.3 °C,0.485 ppm
2024-02-17 21:00:00,508 ppm,80.7 %H,21.3 μg/m³,20.3 μg/m³,23.5 °C,0.625 ppm
2024-02-17 22:00:00,513 ppm,80.5 %H,20.2 μg/m³,20 μg/m³,23.6 °C,0.647 ppm
2024-02-17 23:00:00,527 ppm,80.5 %H,20.3 μg/m³,19.8 μg/m³,23.7 °C,0.680 ppm
2024-02-18 00:00:00,542 ppm,80.5 %H,19.7 μg/m³,18.8 μg/m³,23.8 °C,0.682 ppm
2024-02-18 01:00:00,543 ppm,80.1 %H,20.3 μg/m³,19.5 μg/m³,23.8 °C,0.637 ppm
2024-02-18 02:00:00,546 ppm,80 %H,19.2 μg/m³,18.5 μg/m³,23.8 °C,0.602 ppm
2024-02-18 03:00:00,547 ppm,80 %H,20.3 μg/m³,20 μg/m³,23.9 °C,0.552 ppm
2024-02-18 04:00:00,544 ppm,80 %H,21.5 μg/m³,20.3 μg/m³,23.9 °C,0.493 ppm
2024-02-18 05:00:00,541 ppm,80 %H,22.2 μg/m³,20.5 μg/m³,23.9 °C,0.555 ppm
2024-02-18 06:00:00,533 ppm,80 %H,21 μg/m³,20.7 μg/m³,23.9 °C,0.540 ppm
2024-02-18 07:00:00,527 ppm,80 %H,20.5 μg/m³,19.7 μg/m³,24.0 °C,0.468 ppm
2024-02-18 08:00:00,525 ppm,80 %H,21.5 μg/m³,21 μg/m³,24 °C,0.482 ppm
2024-02-18 09:00:00,517 ppm,80 %H,21.2 μg/m³,21 μg/m³,24.1 °C,0.412 ppm
2024-02-18 10:00:00,506 ppm,80 %H,23 μg/m³,22.5 μg/m³,24.2 °C,0.468 ppm
2024-02-18 11:00:00,501 ppm,80 %H,25.5 μg/m³,24.8 μg/m³,24.3 °C,0.468 ppm
2024-02-18 12:00:00,489 ppm,80 %H,24.5 μg/m³,23.2 μg/m³,24.4 °C,0.362 ppm
2024-02-18 13:00:00,483 ppm,79.6 %H,26 μg/m³,24.7 μg/m³,24.5 °C,0.450 ppm
2024-02-18 14:00:00,484 ppm,79.5 %H,25.2 μg/m³,23.7 μg/m³,24.6 °C,0.385 ppm
2024-02-18 15:00:00,485 ppm,79.5 %H,24.7 μg/m³,23 μg/m³,24.7 °C,0.433 ppm
2024-02-18 16:00:00,482 ppm,79.5 %H,23.3 μg/m³,21.8 μg/m³,24.8 °C,0.448 ppm
2024-02-18 17:00:00,483 ppm,79.5 %H,23.5 μg/m³,23.2 μg/m³,24.8 °C,0.418 ppm
2024-02-18 18:00:00,486 ppm,79.5 %H,24.2 μg/m³,23.5 μg/m³,24.8 °C,0.398 ppm
2024-02-18 19:00:00,491 ppm,79.5 %H,22.8 μg/m³,22.3 μg/m³,24.7 °C,0.400 ppm
2024-02-18 20:00:00,496 ppm,79.5 %H,24.7 μg/m³,23.8 μg/m³,24.7 °C,0.348 ppm
2024-02-18 21:00:00,496 ppm,79.5 %H,24.2 μg/m³,23.7 μg/m³,24.7 °C,0.322 ppm
2024-02-18 22:00:00,496 ppm,79.5 %H,22.5 μg/m³,22.3 μg/m³,24.7 °C,0.392 ppm
2024-02-18 23:00:00,494 ppm,79.8 %H,20.7 μg/m³,20.2 μg/m³,24.7 °C,0.368 ppm
2024-02-19 00:00:00,490 ppm,80 %H,20.3 μg/m³,20.2 μg/m³,24.7 °C,0.377 ppm
2024-02-19 01:00:00,487 ppm,80 %H,18.5 μg/m³,18.3 μg/m³,24.6 °C,0.400 ppm
2024-02-19 02:00:00,485 ppm,80 %H,19.8 μg/m³,19.2 μg/m³,24.6 °C,0.403 ppm
2024-02-19 03:00:00,480 ppm,80 %H,19.8 μg/m³,19.3 μg/m³,24.6 °C,0.403 ppm
2024-02-19 04:00:00,481 ppm,80 %H,17.7 μg/m³,17 μg/m³,24.6 °C,0.402 ppm
2024-02-19 05:00:00,475 ppm,80 %H,18.5 μg/m³,18 μg/m³,24.6 °C,0.393 ppm
2024-02-19 06:00:00,477 ppm,80 %H,20.2 μg/m³,19.3 μg/m³,24.6 °C,0.380 ppm
2024-02-19 07:00:00,475 ppm,80 %H,18.5 μg/m³,18.3 μg/m³,24.6 °C,0.402 ppm
2024-02-19 08:00:00,499 ppm,78.3 %H,16.2 μg/m³,16 μg/m³,23.7 °C,0.525 ppm
2024-02-19 09:00:00,565 ppm,79.2 %H,16.7 μg/m³,16 μg/m³,23.4 °C,0.500 ppm
2024-02-19 10:00:00,624 ppm,79.1 %H,16.7 μg/m³,14.7 μg/m³,23.2 °C,0.448 ppm
2024-02-19 11:00:00,821 ppm,78 %H,10.5 μg/m³,10.2 μg/m³,23.1 °C,0.490 ppm
2024-02-19 12:00:00,988 ppm,78.4 %H,8.83 μg/m³,8.50 μg/m³,23.3 °C,0.512 ppm
2024-02-19 13:00:00,985 ppm,77.9 %H,8.33 μg/m³,7.67 μg/m³,23.6 °C,0.428 ppm
2024-02-19 14:00:00,969 ppm,76.8 %H,8.17 μg/m³,8 μg/m³,23.7 °C,0.450 ppm
